City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Luderitz,NA,-26.6481,15.1594,66.0,76,1,6.51,clear sky
81,Mala,PE,-12.6581,-76.6308,74.68,71,77,6.44,broken clouds
82,Bilma,NE,18.6853,12.9164,80.65,17,6,19.33,clear sky
83,Umm Lajj,SA,25.0213,37.2685,86.23,24,0,26.78,clear sky
84,Tiksi,RU,71.6872,128.8694,-25.65,100,100,4.21,overcast clouds
85,Scottsbluff,US,41.8666,-103.6672,51.8,82,40,20.71,scattered clouds
86,Winona,US,43.9666,-91.7668,52.0,100,90,9.22,moderate rain
87,Ushuaia,AR,-54.8,-68.3,46.4,93,75,20.71,moderate rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,71,75,20.71,snow
89,Hithadhoo,MV,-0.6,73.0833,83.01,71,100,7.52,overcast clouds
90,Zhigansk,RU,66.7697,123.3711,-32.08,100,80,6.8,broken clouds
91,Benguela,AO,-12.5763,13.4055,78.39,81,100,6.13,light rain
92,Pembroke,CA,45.8168,-77.1162,64.4,27,1,6.91,clear sky
93,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,89,0,4.61,clear sky
94,Svetlyy,RU,54.675,20.1347,37.4,93,90,11.18,overcast clouds
95,Bathsheba,BB,13.2167,-59.5167,80.6,54,20,21.85,few clouds
96,Pisco,PE,-13.7,-76.2167,75.2,64,0,23.02,clear sky
97,Ko Samui,TH,9.5357,99.9357,82.47,73,98,6.93,overcast clouds
98,Alofi,NU,-19.0595,-169.9187,84.2,79,86,8.05,overcast clouds
99,Zeya,RU,53.75,127.2667,-4.83,97,19,2.01,few clouds
100,Kaura Namoda,NG,12.5898,6.5779,88.52,26,65,7.47,broken clouds
101,Isiolo,KE,0.3546,37.5822,75.97,46,100,5.08,overcast clouds
102,Bethel,US,41.3712,-73.414,64.4,36,1,6.91,clear sky
103,Namibe,AO,-15.1961,12.1522,74.95,77,100,4.94,overcast clouds
104,Flinders,AU,-34.5833,150.8552,68.0,88,0,5.99,clear sky
105,Vardo,NO,70.3705,31.1107,33.8,80,40,37.98,snow
106,Nioro,GM,13.35,-15.75,80.02,36,78,9.89,broken clouds
107,Kurya,RU,51.6003,82.2888,40.1,76,93,26.26,overcast clouds
108,Yashalta,RU,46.3395,42.2762,36.7,93,100,11.01,light rain
109,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,40,8.05,scattered clouds
110,Shieli,KZ,44.1667,66.75,35.24,66,48,8.37,scattered clouds
111,Reims,FR,49.1667,4.0833,35.6,93,85,1.14,mist
112,Broome,US,42.2506,-75.833,64.99,21,1,13.8,clear sky
113,Pushkino,RU,56.0172,37.8667,24.8,74,0,4.47,clear sky
114,Rawson,AR,-43.3002,-65.1023,78.62,23,80,21.47,broken clouds
115,Hilo,US,19.7297,-155.09,80.6,65,40,10.36,scattered clouds
116,Save,BJ,8.0425,2.486,80.65,69,100,7.02,overcast clouds
117,Camacha,PT,33.0833,-16.3333,60.8,63,20,11.5,few clouds
118,Rudno,PL,51.7483,22.9461,35.6,87,0,6.91,clear sky
119,Vao,NC,-22.6667,167.4833,75.34,65,73,14.85,broken clouds
120,Denpasar,ID,-8.65,115.2167,80.6,83,75,6.91,broken clouds
121,Sikandra Rao,IN,27.7,78.4,75.63,30,98,3.62,overcast clouds
122,Port Alfred,ZA,-33.5906,26.891,69.96,71,94,17.49,overcast clouds
123,San Rafael Del Sur,NI,11.8485,-86.4384,93.2,46,20,9.22,few clouds
124,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.99,73,12,9.01,few clouds
125,Kahului,US,20.8947,-156.47,80.6,61,20,8.05,few clouds
